,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Selection bias source,Selection bias target
1,TARNet,htce,0.29369118938800315,-1.7372353292093925,0.2070440033448482,0.6454455186590297,2,10.0
2,TLearner,htce,0.17083329664594712,-1.7372353292093925,0.2070440033448482,0.3754405639053853,2,10.0
3,SLearner,htce,0.2141884044413172,-1.7372353292093925,0.2070440033448482,0.4707221421366316,2,10.0
4,DRLearner,target,0.44206545118527113,-1.7372353292093925,0.2070440033448482,0.971527831720411,2,10.0
5,TARNet,target,0.480500086308138,-1.7372353292093925,0.2070440033448482,1.0559956805961075,2,10.0
6,TLearner,target,0.4605275010623923,-1.7372353292093925,0.2070440033448482,1.01210190336103,2,10.0
7,SLearner,target,0.8591549039421152,-1.7372353292093925,0.2070440033448482,1.8881658783803457,2,10.0
8,DRLearner,radial_gan,0.2872798410161049,-1.7372353292093925,0.2070440033448482,0.6313552897903095,2,10.0
9,TARNet,radial_gan,0.3918693790476013,-1.7372353292093925,0.2070440033448482,0.8612118570292485,2,10.0
10,TLearner,radial_gan,0.33465075845686565,-1.7372353292093925,0.2070440033448482,0.7354624182357326,2,10.0
11,SLearner,radial_gan,0.39920836586837266,-1.7372353292093925,0.2070440033448482,0.8773407581543908,2,10.0
12,DRLearner,shared_source_target,0.4317138604520118,-1.7372353292093925,0.2070440033448482,0.9487781269584218,2,10.0
13,TARNet,shared_source_target,0.4037526476347821,-1.7372353292093925,0.2070440033448482,0.8873277322538349,2,10.0
14,TLearner,shared_source_target,0.4235714197122779,-1.7372353292093925,0.2070440033448482,0.9308834740838856,2,10.0
15,SLearner,shared_source_target,0.4499974497208189,-1.7372353292093925,0.2070440033448482,0.9889599954821082,2,10.0
0,DRLearner,htce,0.04587734093728962,-1.7372353292093925,0.2070440033448482,0.10082469337153228,10,0.0
1,TARNet,htce,0.07205919562116624,-1.7372353292093925,0.2070440033448482,0.15836459033304592,10,0.0
2,TLearner,htce,0.06322881850927285,-1.7372353292093925,0.2070440033448482,0.13895805877580858,10,0.0
3,SLearner,htce,0.09983215925458797,-1.7372353292093925,0.2070440033448482,0.21940126955528105,10,0.0
4,DRLearner,target,0.19779932145404666,-1.7372353292093925,0.2070440033448482,0.4347038325948717,10,0.0
5,TARNet,target,0.35243617654653886,-1.7372353292093925,0.2070440033448482,0.7745494552945492,10,0.0
6,TLearner,target,0.2806153888647664,-1.7372353292093925,0.2070440033448482,0.6167088144079103,10,0.0
7,SLearner,target,0.38239702353735966,-1.7372353292093925,0.2070440033448482,0.8403944486896562,10,0.0
8,DRLearner,radial_gan,0.20742619885477476,-1.7372353292093925,0.2070440033448482,0.45586083389929577,10,0.0
9,TARNet,radial_gan,0.23126846664711548,-1.7372353292093925,0.2070440033448482,0.5082590176286149,10,0.0
10,TLearner,radial_gan,0.2291414127955644,-1.7372353292093925,0.2070440033448482,0.5035843885418829,10,0.0
11,SLearner,radial_gan,0.2300858166850436,-1.7372353292093925,0.2070440033448482,0.5056599062294878,10,0.0
12,DRLearner,shared_source_target,0.183003991975317,-1.7372353292093925,0.2070440033448482,0.4021881172646658,10,0.0
13,TARNet,shared_source_target,0.1907867989011764,-1.7372353292093925,0.2070440033448482,0.4192924024267511,10,0.0
14,TLearner,shared_source_target,0.2049279050562632,-1.7372353292093925,0.2070440033448482,0.4503703302859491,10,0.0
15,SLearner,shared_source_target,0.22990434952435415,-1.7372353292093925,0.2070440033448482,0.5052610956083899,10,0.0
0,DRLearner,htce,0.06022539492427056,-1.7372353292093925,0.2070440033448482,0.13235743075692205,10,0.5
1,TARNet,htce,0.07840572129326306,-1.7372353292093925,0.2070440033448482,0.17231235826794847,10,0.5
2,TLearner,htce,0.05706685064397963,-1.7372353292093925,0.2070440033448482,0.12541589377909138,10,0.5
3,SLearner,htce,0.12072539746263718,-1.7372353292093925,0.2070440033448482,0.2653183670336293,10,0.5
4,DRLearner,target,0.16946375680648068,-1.7372353292093925,0.2070440033448482,0.37243072437342445,10,0.5
5,TARNet,target,0.35350053785449653,-1.7372353292093925,0.2070440033448482,0.7768886035607498,10,0.5
6,TLearner,target,0.2710344911875598,-1.7372353292093925,0.2070440033448482,0.5956528628031996,10,0.5
7,SLearner,target,0.3649805056615642,-1.7372353292093925,0.2070440033448482,0.8021181441229375,10,0.5
8,DRLearner,radial_gan,0.1859723596389577,-1.7372353292093925,0.2070440033448482,0.4087117028384165,10,0.5
9,TARNet,radial_gan,0.4114827684589669,-1.7372353292093925,0.2070440033448482,0.9043162290999945,10,0.5
10,TLearner,radial_gan,0.1729223365000764,-1.7372353292093925,0.2070440033448482,0.3800316495792783,10,0.5
11,SLearner,radial_gan,0.23433788383098703,-1.7372353292093925,0.2070440033448482,0.5150046798677622,10,0.5
12,DRLearner,shared_source_target,0.21659519361842988,-1.7372353292093925,0.2070440033448482,0.4760115459214762,10,0.5
13,TARNet,shared_source_target,0.2174367940775405,-1.7372353292093925,0.2070440033448482,0.47786113237303535,10,0.5
14,TLearner,shared_source_target,0.2025792233029767,-1.7372353292093925,0.2070440033448482,0.445208629263954,10,0.5
15,SLearner,shared_source_target,0.24574431887720125,-1.7372353292093925,0.2070440033448482,0.5400726173833402,10,0.5
0,DRLearner,htce,0.03839806995543014,-1.7372353292093925,0.2070440033448482,0.08438748955844808,10,1.0
1,TARNet,htce,0.0519538365766774,-1.7372353292093925,0.2070440033448482,0.11417901594336965,10,1.0
2,TLearner,htce,0.05191169762841126,-1.7372353292093925,0.2070440033448482,0.114086407120558,10,1.0
3,SLearner,htce,0.08854894252962656,-1.7372353292093925,0.2070440033448482,0.19460412910867547,10,1.0
4,DRLearner,target,0.2059024264039309,-1.7372353292093925,0.2070440033448482,0.45251203715158705,10,1.0
5,TARNet,target,0.16206453432451665,-1.7372353292093925,0.2070440033448482,0.3561694432553334,10,1.0
6,TLearner,target,0.2633328576556108,-1.7372353292093925,0.2070440033448482,0.5787269725171846,10,1.0
7,SLearner,target,0.4175089046029918,-1.7372353292093925,0.2070440033448482,0.9175598765417006,10,1.0
8,DRLearner,radial_gan,0.16307827092735694,-1.7372353292093925,0.2070440033448482,0.35839733353957165,10,1.0
9,TARNet,radial_gan,0.1673541384428758,-1.7372353292093925,0.2070440033448482,0.36779441328180823,10,1.0
10,TLearner,radial_gan,0.19749483837807139,-1.7372353292093925,0.2070440033448482,0.434034669732665,10,1.0
11,SLearner,radial_gan,0.2276541152524671,-1.7372353292093925,0.2070440033448482,0.5003157527475809,10,1.0
12,DRLearner,shared_source_target,0.20797152050114623,-1.7372353292093925,0.2070440033448482,0.45705928800890555,10,1.0
13,TARNet,shared_source_target,0.206686588464789,-1.7372353292093925,0.2070440033448482,0.45423539115869216,10,1.0
14,TLearner,shared_source_target,0.19893715685808291,-1.7372353292093925,0.2070440033448482,0.4372044549800279,10,1.0
15,SLearner,shared_source_target,0.2554616579213882,-1.7372353292093925,0.2070440033448482,0.5614284263622564,10,1.0
0,DRLearner,htce,0.05352943812133198,-1.7372353292093925,0.2070440033448482,0.11764171755967864,10,2.0
1,TARNet,htce,0.07871359117448211,-1.7372353292093925,0.2070440033448482,0.1729889643165569,10,2.0
2,TLearner,htce,0.05512801161177926,-1.7372353292093925,0.2070440033448482,0.12115490465189743,10,2.0
3,SLearner,htce,0.11633393521194199,-1.7372353292093925,0.2070440033448482,0.2556672445877093,10,2.0
4,DRLearner,target,0.22506334669162323,-1.7372353292093925,0.2070440033448482,0.4946220172257087,10,2.0
5,TARNet,target,0.20045361284046265,-1.7372353292093925,0.2070440033448482,0.4405371723152339,10,2.0
6,TLearner,target,0.2980454012205962,-1.7372353292093925,0.2070440033448482,0.6550147758114,10,2.0
7,SLearner,target,0.5301139598146952,-1.7372353292093925,0.2070440033448482,1.1650321565791062,10,2.0
8,DRLearner,radial_gan,0.21128078670433798,-1.7372353292093925,0.2070440033448482,0.4643320667577363,10,2.0
9,TARNet,radial_gan,0.21921149391312833,-1.7372353292093925,0.2070440033448482,0.4817613925688963,10,2.0
10,TLearner,radial_gan,0.23250705199497954,-1.7372353292093925,0.2070440033448482,0.5109810582997071,10,2.0
11,SLearner,radial_gan,0.26641509902885785,-1.7372353292093925,0.2070440033448482,0.585500818494428,10,2.0
